time_s,hip_hold_raw,hip_pos_raw,hip_error_raw,hip_error_wrap_raw,hip_error_output_rad,hip_vel_raw,thigh_target_raw,thigh_pos_raw,thigh_error_raw,thigh_error_wrap_raw,thigh_vel_raw,thigh_target_delta_raw,thigh_pos_delta_raw,thigh_target_delta_output_rad,thigh_pos_delta_output_rad,thigh_error_output_rad,thigh_sine_command_output_rad,thigh_sine_phase_rad,hip_compensation_enabled,hip_bias_enabled,hip_bias_output_rad,thigh_sine_amplitude_rad,thigh_sine_period_s,gear_ratio,motor_sign,rate_hz,hip_kp,hip_kd,hip_torque_limit,thigh_kp,thigh_kd,thigh_torque_limit
7.152557373046875e-07,-10.593671798706055,1.2133787870407104,-11.807050585746765,0.7593200286124073,0.6945323873968685,-2.8121756478687257e-18,3.7413716210734687,3.044951915740967,0.6964197053325019,0.6964197053325019,0.0,-7.639943377046876e-06,-0.6964273452758789,4.4940843394393387e-07,0.040966314427992874,-0.040965865019558935,4.4940843395081093e-07,8.988168679017429e-07,0,0,0.0,0.5,5.0,17.0,-1.0,80.0,0.02,0.01,1.3,0.035,0.004,0.22
0.012293100357055664,-10.593671798706055,1.2133787870407104,-11.807050585746765,0.7593200286124073,0.6945323873968685,-2.277935465782218e-19,3.6100767766684774,1.21491277217865,2.3951640044898275,2.3951640044898275,0.0,-0.13130248434836833,-2.526466488838196,0.007723675549904019,0.14861567581401153,-0.1408920002641075,0.007723675549904015,0.015447965508627254,0,0,0.0,0.5,5.0,17.0,-1.0,80.0,0.02,0.01,1.3,0.035,0.004,0.22
0.02484917640686035,-10.593671798706055,1.2103108167648315,-11.803982615470886,0.7623879988882862,0.694351918557111,0.02049257792532444,3.475998028096103,1.2103108167648315,2.2656872113312714,2.2656872113312714,0.00047243823064491153,-0.2653812329207428,-2.531068444252014,0.015610660760043693,0.14888637907364788,-0.13327571831360419,0.015610660760043697,0.031226396019019713,0,0,0.0,0.5,5.0,17.0,-1.0,80.0,0.02,0.01,1.3,0.035,0.004,0.22
0.03740978240966797,-10.593671798706055,1.2087769508361816,-11.802448749542236,0.7639218648169361,0.6942616911495433,0.00013446515367832035,3.3419370143069633,1.2087769508361816,2.1331600634707817,2.1331600634707817,1.0892026693909429e-05,-0.3994422467098824,-2.532602310180664,0.02349660274764014,0.14897660648121552,-0.1254800037335754,0.023496602747640143,0.04701051903624222,0,0,0.0,0.5,5.0,17.0,-1.0,80.0,0.02,0.01,1.3,0.035,0.004,0.22
0.04997062683105469,-10.593671798706055,1.2072429656982422,-11.800914764404297,0.7654558499548756,0.6941714567296645,0.0016600098460912704,3.2079729732811653,-3.3563499450683594,6.564322918349525,0.28113761116993885,10.969772338867188,-0.5334062877356804,-7.097729206085205,0.03137684045504002,0.4175134827108944,-0.3861366422558544,0.03137684045504003,0.06279494165908736,0,0,0.0,0.5,5.0,17.0,-1.0,80.0,0.02,0.01,1.3,0.035,0.004,0.22
0.06283974647521973,-10.593671798706055,1.2057089805603027,-11.799380779266357,0.766989835092815,0.6940812223097858,0.0004724546743091196,3.0708592220290525,3.0434179306030273,0.02744129142602514,0.02744129142602514,-4.138337780303448e-33,-0.6705200389877932,-0.6979613304138184,0.03944235523457607,0.04105654884787167,-0.0016141936132955965,0.039442355234576086,0.07896675435199815,0,0,0.0,0.5,5.0,17.0,-1.0,80.0,0.02,0.01,1.3,0.035,0.004,0.22
0.07564997673034668,-10.593671798706055,1.2072429656982422,-11.800914764404297,0.7654558499548756,0.6941714567296645,-1.9591922371221385e-38,2.9345470060154946,3.041883945465088,-0.10733693944959333,-0.10733693944959333,-6.926325984289412e-32,-0.8068322550013511,-0.6994953155517578,0.04746072088243242,0.04114678326775046,0.00631393761468196,0.047460720882432424,0.09506456445611837,0,0,0.0,0.5,5.0,17.0,-1.0,80.0,0.02,0.01,1.3,0.035,0.004,0.22
0.08854484558105469,-10.593671798706055,1.2072429656982422,-11.800914764404297,0.7654558499548756,0.6941714567296645,-4.51674928811961e-40,2.7975453929730274,1.2072429656982422,1.5903024272747852,1.5903024272747857,0.0,-0.9438338680438183,-2.5341362953186035,0.05551963929669519,0.14906684090109432,-0.09354720160439912,0.055519639296695185,0.11126873455627362,0,0,0.0,0.5,5.0,17.0,-1.0,80.0,0.02,0.01,1.3,0.035,0.004,0.22
0.10140180587768555,-10.593671798706055,1.2072429656982422,-11.800914764404297,0.7654558499548756,0.6941714567296645,0.0,2.6611932346671647,3.0403499603271484,-0.3791567256599837,-0.3791567256599837,-2.4186783679118467e-37,-1.080186026349681,-0.7010293006896973,0.0635403544911577,0.04123701768762925,0.022303336803528452,0.06354035449115769,0.1274252673624301,0,0,0.0,0.5,5.0,17.0,-1.0,80.0,0.02,0.01,1.3,0.035,0.004,0.22
0.11421036720275879,-10.593671798706055,1.2026410102844238,-11.796312808990479,0.770057805368694,0.6939007534700281,0.00013446525554172695,2.5256346870703625,3.0372819900512695,-0.511647302980907,-0.511647302980907,-1.3346082572418538e-10,-1.2157445739464832,-0.7040972709655762,0.0715143867027343,0.04141748652738683,0.03009690017534747,0.07151438670273429,0.14352098022719187,0,0,0.0,0.5,5.0,17.0,-1.0,80.0,0.02,0.01,1.3,0.035,0.004,0.22
0.1270296573638916,-10.593671798706055,1.2011070251464844,-11.794778823852539,0.7715917905066334,0.6938105190501493,3.1233015060424805,2.390277955743313,-3.3563499450683594,5.7466279008116725,-0.5365574063679137,2.7839660179256154e-17,-1.3511013052735326,-7.097729206085205,0.07947654736903133,0.4175134827108944,-0.3380369353418631,0.07947654736903131,0.15963017534497217,0,0,0.0,0.5,5.0,17.0,-1.0,80.0,0.02,0.01,1.3,0.035,0.004,0.22
0.13960981369018555,-10.593671798706055,1.2011070251464844,-11.794778823852539,0.7715917905066334,0.6938105190501493,-2.9859271251790928e-36,2.2577868484369095,3.032680034637451,-0.7748931862005417,-0.7748931862005417,-3.0999740374682005e-06,-1.4835924125799362,-0.7086992263793945,0.08727014191646684,0.04168818978702321,0.04558195212944363,0.08727014191646684,0.17543886602325065,0,0,0.0,0.5,5.0,17.0,-1.0,80.0,0.02,0.01,1.3,0.035,0.004,0.22
0.15242528915405273,-10.593671798706055,1.196505069732666,-11.79017686843872,0.7761937459204518,0.6935398157905129,3.0999740374682005e-06,2.123198861511871,3.0296120643615723,-0.9064132028497012,-0.9064132028497012,-7.04035972940271e-20,-1.6181803995049746,-0.7117671966552734,0.09518708232382203,0.04186865862678079,0.05331842369704125,0.09518708232382202,0.1915432674510688,0,0,0.0,0.5,5.0,17.0,-1.0,80.0,0.02,0.01,1.3,0.035,0.004,0.22
0.1652686595916748,-10.593671798706055,1.1857671737670898,-11.779438972473145,0.7869316418860279,0.6929081748513615,-8.756926390615649e-13,1.988738987270377,1.1857671737670898,0.8029718135032871,0.8029718135032873,-2.018831709606466e-14,-1.7526402737464688,-2.555612087249756,0.10309648669096876,0.1503301227793974,-0.04723363608842865,0.10309648669096876,0.20768272273673513,0,0,0.0,0.5,5.0,17.0,-1.0,80.0,0.02,0.01,1.3,0.035,0.004,0.22
0.17813587188720703,-10.593671798706055,1.1734952926635742,-11.767167091369629,0.7992035229895436,0.6921862994923311,-3.123300313949585,1.8544873227647765,2.991262674331665,-1.1367753515668886,-1.1367753515668886,-10.994949340820312,-1.8868919382520692,-0.7501165866851807,0.1109936434265923,0.044124505099128276,0.06686913832746404,0.1109936434265923,0.22385213858466488,0,0,0.0,0.5,5.0,17.0,-1.0,80.0,0.02,0.01,1.3,0.035,0.004,0.22
