time_s,hip_target_raw,hip_pos_raw,hip_error_raw,hip_error_wrap_raw,hip_error_output_rad,thigh_target_raw,thigh_pos_raw,thigh_error_raw,thigh_error_wrap_raw,thigh_target_delta_raw,thigh_pos_delta_raw,thigh_target_delta_output_rad,thigh_pos_delta_output_rad,thigh_error_output_rad,thigh_sine_command_output_rad,hip_output_bias_rad,hip_bias_sign,thigh_sine_amplitude_rad,thigh_sine_period_s,gear_ratio,motor_sign
1.1920928955078125e-06,-6.069321022033692,-1.9987770318984985,-4.070543990135193,2.212641317044393,0.2394437641255996,0.4494543564004856,-1.9987770318984985,2.448231388298984,2.448231388298984,-2.03731823389397e-06,-2.448233425617218,1.1984224905258648e-07,0.14401373091865988,-0.1440136110764108,1.198422490535209e-07,0.08,1.0,0.08,5.0,17.0,-1.0
0.011553287506103516,-6.069321022033692,-1.9987770318984985,-4.070543990135193,2.212641317044393,0.2394437641255996,0.42971221395542303,0.44792240858078003,-0.018210194625357,-0.018210194625357,-0.019744179763296454,-0.0015339851379394531,0.0011614223390174385,9.023441987879137e-05,0.001071187919138647,0.0011614223390174394,0.08,1.0,0.08,5.0,17.0,-1.0
0.024110078811645508,-6.069321022033692,-1.9987770318984985,-4.070543990135193,2.212641317044393,0.2394437641255996,0.40825793610406813,4.384117126464844,-3.975859190360776,2.3073261168188104,-0.04119845761465135,3.9346607327461243,0.0024234386832147855,-0.2314506313380073,0.2338740700212221,0.0024234386832147846,0.08,1.0,0.08,5.0,17.0,-1.0
0.03666830062866211,-6.069321022033692,-1.9987770318984985,-4.070543990135193,2.212641317044393,0.2394437641255996,0.38681147374288344,4.384117126464844,-3.9973056527219604,2.2858796544576254,-0.06264491997583604,3.9346607327461243,0.003684995292696238,-0.2314506313380073,0.23513562663070356,0.003684995292696238,0.08,1.0,0.08,5.0,17.0,-1.0
0.04924941062927246,-6.069321022033692,-1.9987770318984985,-4.070543990135193,2.212641317044393,0.2394437641255996,0.3653415707406755,0.44792240858078003,-0.0825808378401045,-0.0825808378401045,-0.08411482297804396,-0.0015339851379394531,0.0049479307634143505,9.023441987879137e-05,0.004857696343535559,0.00494793076341435,0.08,1.0,0.08,5.0,17.0,-1.0
0.06184101104736328,-6.069321022033692,-1.9987770318984985,-4.070543990135193,2.212641317044393,0.2394437641255996,0.3438748177175986,-1.9987770318984985,2.342651849616097,2.3426518496160966,-0.10558157600112089,-2.448233425617218,0.006210680941242406,0.14401373091865988,-0.13780304997741746,0.006210680941242406,0.08,1.0,0.08,5.0,17.0,-1.0
0.07441139221191406,-6.069321022033692,-1.9987770318984985,-4.070543990135193,2.212641317044393,0.2394437641255996,0.32247060435165686,-1.9987770318984985,2.3212476362501553,2.3212476362501553,-0.12698578936706262,-2.448233425617218,0.007469752315709566,0.14401373091865988,-0.1365439786029503,0.007469752315709564,0.08,1.0,0.08,5.0,17.0,-1.0
0.08698797225952148,-6.069321022033692,-2.0003108978271484,-4.069010124206543,2.214175182973043,0.23935353671803195,0.3010875458153314,0.44792240858078003,-0.1468348627654486,-0.14683486276544855,-0.14836884790338806,-0.0015339851379394531,0.008727579288434591,9.023441987879137e-05,0.0086373448685558,0.008727579288434591,0.08,1.0,0.08,5.0,17.0,-1.0
0.09956550598144531,-6.069321022033692,-2.0003108978271484,-4.069010124206543,2.214175182973043,0.23935353671803195,0.27973992787089874,0.44792240858078003,-0.1681824807098813,-0.1681824807098815,-0.16971646584782074,-0.0015339851379394531,0.009983321520460043,9.023441987879137e-05,0.009893087100581252,0.009983321520460043,0.08,1.0,0.08,5.0,17.0,-1.0
0.11212801933288574,-6.069321022033692,-1.9987770318984985,-4.070543990135193,2.212641317044393,0.2394437641255996,0.2584601217699153,-1.9987770318984985,2.257237153668414,2.257237153668414,-0.1909962719488042,-2.448233425617218,0.011235074820517894,0.14401373091865988,-0.132778656098142,0.011235074820517893,0.08,1.0,0.08,5.0,17.0,-1.0
0.12468695640563965,-6.069321022033692,-2.0003108978271484,-4.069010124206543,2.214175182973043,0.23935353671803195,0.23723395074522352,0.44792240858078003,-0.2106884578355565,-0.21068845783555634,-0.21222244297349596,-0.0015339851379394531,0.012483673116087998,9.023441987879137e-05,0.012393438696209206,0.012483673116087998,0.08,1.0,0.08,5.0,17.0,-1.0
0.137251615524292,-6.069321022033692,-2.0003108978271484,-4.069010124206543,2.214175182973043,0.23935353671803195,0.21605100332330038,4.384117126464844,-4.168066123141544,2.1151191840380426,-0.2334053903954191,3.9346607327461243,0.01372972884678936,-0.2314506313380073,0.2451803601847967,0.01372972884678936,0.08,1.0,0.08,5.0,17.0,-1.0
0.1498124599456787,-6.069321022033692,-2.0003108978271484,-4.069010124206543,2.214175182973043,0.23935353671803195,0.19493264673138627,0.44792240858078003,-0.25298976184939376,-0.2529897618493937,-0.2545237469873332,-0.0015339851379394531,0.014971985116901954,9.023441987879137e-05,0.014881750697023162,0.014971985116901954,0.08,1.0,0.08,5.0,17.0,-1.0
0.16238117218017578,-6.069321022033692,-2.0003108978271484,-4.069010124206543,2.214175182973043,0.23935353671803195,0.17386453556024217,-2.0003108978271484,2.174175433387391,2.174175433387391,-0.2755918581584773,-2.449767291545868,0.016211285774028077,0.14410395832622752,-0.12789267255219947,0.016211285774028077,0.08,1.0,0.08,5.0,17.0,-1.0
0.1749410629272461,-6.069321022033692,-2.0003108978271484,-4.069010124206543,2.214175182973043,0.23935353671803195,0.15287988546200637,0.44792240858078003,-0.29504252311877366,-0.29504252311877366,-0.2965765082567131,-0.0015339851379394531,0.01744567695627724,9.023441987879137e-05,0.017355442536398452,0.01744567695627724,0.08,1.0,0.08,5.0,17.0,-1.0
